id_cidade,data,sensor,valor,cidade
23265102,2021-03-28 22:30:00,tempsologra2cm,22.94,Londrina
23265102,2021-03-28 22:45:00,tempsologra2cm,22.9,Londrina
23265102,2021-03-28 23:00:00,tempsologra2cm,22.88,Londrina
23265102,2021-03-28 23:15:00,tempsologra2cm,22.77,Londrina
23265102,2021-03-28 23:30:00,tempsologra2cm,22.66,Londrina
23265102,2021-03-28 23:45:00,tempsologra2cm,22.68,Londrina
23265102,2021-03-29 00:00:00,tempsologra2cm,22.71,Londrina
23265102,2021-03-29 00:15:00,tempsologra2cm,22.68,Londrina
23265102,2021-03-29 00:30:00,tempsologra2cm,22.53,Londrina
23265102,2021-03-29 00:45:00,tempsologra2cm,22.47,Londrina
23265102,2021-03-29 01:00:00,tempsologra2cm,22.38,Londrina
23265102,2021-03-29 01:15:00,tempsologra2cm,22.38,Londrina
23265102,2021-03-29 01:30:00,tempsologra2cm,22.33,Londrina
23265102,2021-03-29 01:45:00,tempsologra2cm,22.37,Londrina
23265102,2021-03-29 02:00:00,tempsologra2cm,22.38,Londrina
23265102,2021-03-29 02:15:00,tempsologra2cm,22.36,Londrina
23265102,2021-03-29 02:30:00,tempsologra2cm,22.31,Londrina
23265102,2021-03-29 02:45:00,tempsologra2cm,22.19,Londrina
23265102,2021-03-29 03:00:00,tempsologra2cm,22.03,Londrina
23265102,2021-03-29 03:15:00,tempsologra2cm,21.91,Londrina
23265102,2021-03-29 03:30:00,tempsologra2cm,21.84,Londrina
23265102,2021-03-29 03:45:00,tempsologra2cm,21.8,Londrina
23265102,2021-03-29 04:00:00,tempsologra2cm,21.72,Londrina
23265102,2021-03-29 04:15:00,tempsologra2cm,21.67,Londrina
23265102,2021-03-29 04:30:00,tempsologra2cm,21.69,Londrina
23265102,2021-03-29 04:45:00,tempsologra2cm,21.72,Londrina
23265102,2021-03-29 05:00:00,tempsologra2cm,21.66,Londrina
23265102,2021-03-29 05:15:00,tempsologra2cm,21.58,Londrina
23265102,2021-03-29 05:30:00,tempsologra2cm,21.55,Londrina
23265102,2021-03-29 05:45:00,tempsologra2cm,21.43,Londrina
23265102,2021-03-29 06:00:00,tempsologra2cm,21.29,Londrina
23265102,2021-03-29 06:15:00,tempsologra2cm,21.26,Londrina
23265102,2021-03-29 06:30:00,tempsologra2cm,21.27,Londrina
23265102,2021-03-29 06:45:00,tempsologra2cm,21.26,Londrina
23265102,2021-03-29 07:00:00,tempsologra2cm,21.27,Londrina
23265102,2021-03-29 07:15:00,tempsologra2cm,21.15,Londrina
23265102,2021-03-29 07:30:00,tempsologra2cm,21.1,Londrina
23265102,2021-03-29 07:45:00,tempsologra2cm,21.07,Londrina
23265102,2021-03-29 08:00:00,tempsologra2cm,21.15,Londrina
23265102,2021-03-29 08:15:00,tempsologra2cm,21.36,Londrina
23265102,2021-03-29 08:30:00,tempsologra2cm,21.77,Londrina
23265102,2021-03-29 08:45:00,tempsologra2cm,22.18,Londrina
23265102,2021-03-29 09:00:00,tempsologra2cm,22.64,Londrina
23265102,2021-03-29 09:15:00,tempsologra2cm,23.2,Londrina
23265102,2021-03-29 09:30:00,tempsologra2cm,23.81,Londrina
23265102,2021-03-29 09:45:00,tempsologra2cm,24.44,Londrina
23265102,2021-03-29 10:00:00,tempsologra2cm,25.11,Londrina
23265102,2021-03-29 10:15:00,tempsologra2cm,26.03,Londrina
23265102,2021-03-29 10:30:00,tempsologra2cm,26.77,Londrina
23265102,2021-03-29 10:45:00,tempsologra2cm,28.01,Londrina
23265102,2021-03-29 11:00:00,tempsologra2cm,29.91,Londrina
23265102,2021-03-29 11:15:00,tempsologra2cm,30.35,Londrina
23265102,2021-03-29 11:30:00,tempsologra2cm,30.78,Londrina
23265102,2021-03-29 11:45:00,tempsologra2cm,31.01,Londrina
23265102,2021-03-29 12:00:00,tempsologra2cm,31.19,Londrina
23265102,2021-03-29 12:15:00,tempsologra2cm,31.81,Londrina
23265102,2021-03-29 12:30:00,tempsologra2cm,32.48,Londrina
23265102,2021-03-29 12:45:00,tempsologra2cm,33.1,Londrina
23265102,2021-03-29 13:00:00,tempsologra2cm,33.28,Londrina
23265102,2021-03-29 13:15:00,tempsologra2cm,32.96,Londrina
23265102,2021-03-29 13:30:00,tempsologra2cm,30.29,Londrina
23265102,2021-03-29 13:45:00,tempsologra2cm,28.13,Londrina
23265102,2021-03-29 14:00:00,tempsologra2cm,26.19,Londrina
23265102,2021-03-29 14:15:00,tempsologra2cm,24.09,Londrina
23265102,2021-03-29 14:30:00,tempsologra2cm,24.48,Londrina
